Metropolitan Area (MSA),UHII Level,# ZIP Codes,# Hospitalizations,99th Temp. %ile (°C),MHT (°C) (95% CI),RR (99th vs. MHP) (95% CI),AN (Temp.  ≥ MHP) (95% CI),"Annual AR (Per 100,000 Beneficiaries) (95% CI)"
"Lakeland-Winter Haven, FL",Overall,32,"221,716",29.7,"28.2 (28.0, 28.6)","1.014 (0.947, 1.086)","25 (-89, 130)","1.77 (-6.37, 9.32)"
"Lakeland-Winter Haven, FL",Low UHII,14,"121,846",29.6,"28.3 (27.8, 31.5)","1.024 (0.937, 1.118)","86 (-29, 193)","10.89 (-3.64, 24.46)"
"Lakeland-Winter Haven, FL",High UHII,-,-,-,-,-,-,-
"Lancaster, PA",Overall,49,"169,327",28.3,"25.0 (24.5, 25.9)","1.016 (0.952, 1.083)","50 (-38, 142)","3.87 (-2.93, 11.04)"
"Lancaster, PA",Low UHII,27,"50,204",28.3,"25.3 (24.0, 33.0)","1.017 (0.918, 1.127)","-3 (-51, 46)","-0.67 (-13.50, 12.13)"
"Lancaster, PA",High UHII,4,"17,792",28.3,"25.0 (24.5, 25.9)","1.048 (0.947, 1.159)","34 (-25, 89)","26.76 (-19.90, 70.49)"
"Las Vegas-Henderson-Paradise, NV",Overall,68,"289,915",37.1,"34.0 (33.5, 34.9)","0.976 (0.925, 1.030)","-312 (-413, -207)","-10.22 (-13.55, -6.80)"
"Las Vegas-Henderson-Paradise, NV",Low UHII,34,"141,446",37.1,"34.3 (32.9, 40.8)","0.916 (0.850, 0.988)","-494 (-593, -397)","-31.86 (-38.25, -25.59)"
"Las Vegas-Henderson-Paradise, NV",High UHII,2,730,37.1,"33.9 (33.4, 34.8)","1.039 (0.897, 1.203)","1 (-2, 4)","17.45 (-24.02, 60.20)"
"Little Rock-North Little Rock-Conway, AR",Overall,45,"171,263",31.2,"28.4 (27.9, 29.3)","0.992 (0.934, 1.053)","4 (-76, 76)","0.31 (-6.68, 6.66)"
"Little Rock-North Little Rock-Conway, AR",Low UHII,14,"48,763",31.2,"28.6 (27.4, 34.5)","1.006 (0.910, 1.114)","27 (-25, 82)","7.72 (-7.02, 23.31)"
"Little Rock-North Little Rock-Conway, AR",High UHII,9,"3,188",31.2,"28.4 (27.9, 29.3)","1.037 (0.919, 1.171)","4 (-1, 10)","19.96 (-5.55, 46.37)"
"Los Angeles-Long Beach-Glendale, CA",Overall,409,"1,717,279",28.1,"24.4 (23.9, 25.4)","0.931 (0.911, 0.951)","-3,913 (-4,033, -3,809)","-21.40 (-22.05, -20.83)"
"Los Angeles-Long Beach-Glendale, CA",Low UHII,112,"474,108",28.5,"24.5 (23.1, 35.3)","0.857 (0.827, 0.887)","-2,210 (-2,337, -2,087)","-44.97 (-47.55, -42.46)"
"Los Angeles-Long Beach-Glendale, CA",High UHII,112,"450,211",28.3,"24.8 (24.3, 25.7)","0.941 (0.895, 0.989)","-922 (-1,036, -818)","-18.29 (-20.54, -16.23)"
"Louisville/Jefferson County, KY-IN",Overall,72,"365,271",29.1,"26.2 (25.8, 27.1)","1.033 (0.985, 1.083)","386 (284, 481)","16.25 (11.98, 20.28)"
"Louisville/Jefferson County, KY-IN",Low UHII,22,"75,370",29,"26.4 (25.3, 33.1)","1.052 (0.966, 1.145)","139 (70, 205)","26.94 (13.55, 39.60)"
"Louisville/Jefferson County, KY-IN",High UHII,18,"64,929",29.1,"26.3 (25.8, 27.2)","1.042 (0.973, 1.115)","100 (46, 157)","25.56 (11.71, 40.00)"
"Madison, WI",Overall,28,"93,150",27,"23.5 (22.8, 24.5)","0.996 (0.930, 1.066)","42 (-20, 99)","5.24 (-2.53, 12.33)"
"Madison, WI",Low UHII,14,"41,685",27,"23.8 (22.3, 32.6)","0.967 (0.877, 1.067)","-33 (-81, 20)","-9.01 (-22.40, 5.43)"
"Madison, WI",High UHII,-,-,-,-,-,-,-
"McAllen-Edinburg-Mission, TX",Overall,21,"144,632",31.8,"30.4 (30.2, 30.8)","1.063 (1.002, 1.127)","293 (210, 367)","31.16 (22.31, 39.10)"
"McAllen-Edinburg-Mission, TX",Low UHII,9,"45,566",31.6,"30.4 (29.9, 34.3)","1.014 (0.930, 1.105)","35 (-8, 80)","11.66 (-2.75, 26.88)"
"McAllen-Edinburg-Mission, TX",High UHII,-,-,-,-,-,-,-
"Memphis, TN-MS-AR",Overall,58,"314,002",30.8,"28.1 (27.7, 28.9)","1.037 (0.990, 1.086)","435 (353, 523)","21.7 (17.63, 26.09)"
"Memphis, TN-MS-AR",Low UHII,19,"113,366",30.8,"28.3 (27.2, 34.1)","1.054 (0.979, 1.134)","160 (80, 241)","21.59 (10.81, 32.56)"
"Memphis, TN-MS-AR",High UHII,10,"40,573",30.8,"28.1 (27.7, 28.9)","1.026 (0.947, 1.112)","52 (-2, 102)","22.81 (-0.83, 44.92)"
"Miami-Miami Beach-Kendall, FL",Overall,109,"728,833",29.9,"28.9 (28.8, 29.2)","1.165 (1.115, 1.217)","4,625 (4,457, 4,792)","78.72 (75.85, 81.57)"
"Miami-Miami Beach-Kendall, FL",Low UHII,14,"79,127",30,"29.0 (28.6, 31.2)","1.237 (1.119, 1.367)","626 (516, 733)","105.58 (87.00, 123.47)"
"Miami-Miami Beach-Kendall, FL",High UHII,39,"337,556",29.9,"28.9 (28.8, 29.2)","1.097 (1.032, 1.165)","1,259 (1,082, 1,431)","48.39 (41.59, 55.03)"
"Milwaukee-Waukesha-West Allis, WI",Overall,81,"477,239",26.7,"23.1 (22.5, 24.2)","1.068 (1.021, 1.117)","1,142 (1,023, 1,251)","32.26 (28.92, 35.36)"
"Milwaukee-Waukesha-West Allis, WI",Low UHII,28,"104,741",26.7,"23.4 (21.8, 32.3)","1.102 (1.016, 1.195)","307 (231, 381)","33.55 (25.28, 41.60)"
"Milwaukee-Waukesha-West Allis, WI",High UHII,22,"148,901",26.7,"23.2 (22.5, 24.2)","1.053 (0.995, 1.115)","283 (190, 372)","28.90 (19.39, 37.95)"
"Minneapolis-St. Paul-Bloomington, MN-WI",Overall,134,"638,399",27.3,"23.7 (23.1, 24.8)","1.034 (0.991, 1.078)","585 (481, 686)","10.82 (8.89, 12.68)"
"Minneapolis-St. Paul-Bloomington, MN-WI",Low UHII,44,"135,395",27.2,"23.8 (22.4, 32.4)","1.040 (0.963, 1.124)","88 (15, 160)","7.21 (1.20, 13.05)"
"Minneapolis-St. Paul-Bloomington, MN-WI",High UHII,27,"112,459",27.4,"23.7 (23.1, 24.8)","1.089 (1.021, 1.161)","250 (179, 317)","27.62 (19.83, 35.11)"
"Modesto, CA",Overall,20,"80,536",30.5,"25.9 (25.3, 27.1)","1.044 (0.954, 1.141)","151 (82, 220)","17.16 (9.29, 25.03)"
"Modesto, CA",Low UHII,4,"11,412",30.3,"26.1 (24.7, 35.9)","1.070 (0.920, 1.245)","38 (2, 73)","27.39 (1.69, 53.16)"
"Modesto, CA",High UHII,5,"19,469",30.5,"25.8 (25.3, 27.1)","1.047 (0.932, 1.176)","37 (-19, 87)","17.76 (-8.96, 41.68)"
"Montgomery County-Bucks County-Chester County, PA",Overall,146,"636,747",28.6,"25.1 (24.6, 26.0)","1.049 (1.008, 1.093)","1,003 (900, 1,113)","20.66 (18.52, 22.91)"
"Montgomery County-Bucks County-Chester County, PA",Low UHII,73,"193,695",28.5,"25.4 (24.1, 33.4)","1.027 (0.964, 1.096)","117 (25, 208)","7.6 (1.64, 13.42)"
"Montgomery County-Bucks County-Chester County, PA",High UHII,12,"111,774",28.7,"25.2 (24.6, 26.1)","1.078 (1.010, 1.150)","231 (145, 316)","29.25 (18.32, 40.00)"
"Nashville-Davidson--Murfreesboro--Franklin, TN",Overall,62,"299,251",29.7,"27.0 (26.6, 27.8)","0.915 (0.875, 0.956)","-1,007 (-1,083, -930)","-42.89 (-46.14, -39.61)"
"Nashville-Davidson--Murfreesboro--Franklin, TN",Low UHII,25,"118,364",29.6,"27.2 (26.1, 33.7)","0.895 (0.838, 0.955)","-422 (-495, -354)","-43.13 (-50.66, -36.18)"
"Nashville-Davidson--Murfreesboro--Franklin, TN",High UHII,10,"18,521",29.7,"27.1 (26.6, 27.9)","1.034 (0.945, 1.131)","6 (-23, 34)","5.06 (-18.09, 27.22)"
"Nassau County-Suffolk County, NY",Overall,161,"1,057,647",27.9,"24.4 (23.9, 25.3)","1.005 (0.975, 1.037)","233 (89, 367)","3.33 (1.27, 5.24)"
"Nassau County-Suffolk County, NY",Low UHII,54,"203,296",27.4,"24.3 (23.1, 32.5)","1.070 (1.011, 1.131)","543 (447, 634)","39.92 (32.89, 46.62)"
"Nassau County-Suffolk County, NY",High UHII,55,"532,590",28.3,"24.7 (24.2, 25.7)","1.027 (0.982, 1.073)","314 (184, 443)","8.96 (5.25, 12.62)"
"New Haven-Milford, CT",Overall,55,"295,637",26.5,"23.5 (23.0, 24.4)","1.014 (0.965, 1.064)","77 (-20, 173)","3.61 (-0.92, 8.14)"
"New Haven-Milford, CT",Low UHII,13,"59,756",26.4,"23.7 (22.4, 31.0)","1.020 (0.932, 1.116)","3 (-54, 61)","0.63 (-11.35, 12.66)"
"New Haven-Milford, CT",High UHII,25,"85,659",26.5,"23.5 (23.1, 24.5)","0.936 (0.880, 0.997)","-216 (-296, -138)","-38.2 (-52.32, -24.44)"
"New Orleans-Metairie, LA",Overall,97,"308,520",30.4,"28.7 (28.4, 29.2)","1.023 (0.971, 1.078)","279 (196, 357)","11.31 (7.93, 14.49)"
"New Orleans-Metairie, LA",Low UHII,26,"59,846",30.3,"28.7 (28.1, 32.4)","0.999 (0.906, 1.102)","19 (-31, 64)","4.17 (-6.95, 14.06)"
"New Orleans-Metairie, LA",High UHII,54,"170,203",30.4,"28.8 (28.5, 29.2)","1.023 (0.962, 1.088)","121 (37, 203)","8.44 (2.60, 14.14)"
"New York-Jersey City-White Plains, NY-NJ",Overall,512,"4,090,377",28.4,"24.7 (24.2, 25.7)","1.082 (1.059, 1.105)","11,806 (11,584, 12,004)","41.20 (40.42, 41.89)"
"New York-Jersey City-White Plains, NY-NJ",Low UHII,104,"273,909",27.7,"24.5 (23.2, 33.2)","1.106 (1.053, 1.161)","981 (904, 1,058)","46.62 (42.97, 50.28)"
"New York-Jersey City-White Plains, NY-NJ",High UHII,244,"2,408,769",28.6,"24.9 (24.4, 26.0)","1.048 (1.017, 1.079)","3,834 (3,647, 4,031)","23.13 (22.01, 24.32)"
"Newark, NJ-PA",Overall,159,"708,297",28.3,"24.7 (24.2, 25.7)","0.933 (0.899, 0.969)","-1,984 (-2,088, -1,872)","-39.77 (-41.87, -37.53)"
"Newark, NJ-PA",Low UHII,63,"146,230",27.8,"24.8 (23.4, 33.4)","0.909 (0.848, 0.974)","-496 (-546, -442)","-41.81 (-46.02, -37.30)"
"Newark, NJ-PA",High UHII,53,"352,633",28.7,"25.0 (24.5, 26.0)","0.976 (0.931, 1.024)","-406 (-497, -303)","-18.64 (-22.82, -13.93)"
"North Port-Sarasota-Bradenton, FL",Overall,47,"333,493",29.5,"28.4 (28.1, 28.7)","1.147 (1.090, 1.206)","1,577 (1,453, 1,701)","58.33 (53.73, 62.88)"
"North Port-Sarasota-Bradenton, FL",Low UHII,10,"64,552",29.6,"28.5 (28.0, 31.2)","1.037 (0.939, 1.145)","78 (-2, 157)","14.99 (-0.29, 30.01)"
"North Port-Sarasota-Bradenton, FL",High UHII,9,"49,824",29.6,"28.4 (28.2, 28.8)","1.180 (1.073, 1.297)","305 (218, 389)","91.71 (65.58, 116.70)"
"Oakland-Hayward-Berkeley, CA",Overall,101,"410,544",25.1,"20.9 (20.5, 21.9)","0.981 (0.937, 1.026)","-375 (-473, -273)","-7.30 (-9.20, -5.31)"
"Oakland-Hayward-Berkeley, CA",Low UHII,13,"44,829",24.8,"21.1 (19.9, 33.8)","1.207 (1.106, 1.318)","316 (262, 369)","53.68 (44.49, 62.58)"
"Oakland-Hayward-Berkeley, CA",High UHII,41,"184,856",25.1,"21.0 (20.5, 21.9)","0.858 (0.812, 0.906)","-1,039 (-1,125, -959)","-47.60 (-51.56, -43.97)"
"Ogden-Clearfield, UT",Overall,27,"78,290",29,"25.7 (25.1, 26.8)","0.993 (0.918, 1.073)","-34 (-93, 24)","-3.83 (-10.40, 2.70)"
"Ogden-Clearfield, UT",Low UHII,10,"28,055",28.8,"25.8 (24.2, 31.7)","1.017 (0.902, 1.146)","22 (-23, 64)","6.43 (-6.83, 18.87)"
"Ogden-Clearfield, UT",High UHII,-,-,-,-,-,-,-
"Oklahoma City, OK",Overall,84,"283,602",32.4,"29.0 (28.3, 30.0)","0.991 (0.938, 1.046)","-170 (-261, -76)","-8.09 (-12.44, -3.63)"
"Oklahoma City, OK",Low UHII,20,"63,157",32.4,"29.3 (27.8, 36.9)","0.951 (0.863, 1.048)","-101 (-163, -42)","-21.01 (-33.96, -8.76)"
"Oklahoma City, OK",High UHII,4,"1,203",32.4,"28.9 (28.3, 30.0)","1.036 (0.904, 1.187)","1 (-1, 4)","16.23 (-16.30, 47.29)"
"Omaha-Council Bluffs, NE-IA",Overall,52,"183,135",29.3,"25.8 (25.1, 26.9)","1.035 (0.967, 1.107)","266 (180, 339)","18.31 (12.35, 23.31)"
"Omaha-Council Bluffs, NE-IA",Low UHII,19,"54,581",29.3,"26.1 (24.5, 32.7)","1.052 (0.942, 1.174)","78 (8, 148)","17.91 (1.88, 33.90)"
"Omaha-Council Bluffs, NE-IA",High UHII,3,"5,218",29.3,"25.8 (25.1, 26.9)","1.062 (0.932, 1.211)","10 (-14, 34)","20.34 (-28.92, 69.60)"
"Orlando-Kissimmee-Sanford, FL",Overall,128,"613,455",29.4,"28.1 (27.8, 28.5)","0.986 (0.948, 1.025)","-453 (-563, -350)","-10.98 (-13.65, -8.47)"
"Orlando-Kissimmee-Sanford, FL",Low UHII,53,"194,329",29.4,"28.2 (27.6, 31.8)","0.976 (0.916, 1.040)","-198 (-300, -103)","-14.73 (-22.30, -7.69)"
"Orlando-Kissimmee-Sanford, FL",High UHII,7,"10,620",29.6,"28.2 (28.0, 28.6)","0.998 (0.904, 1.102)","3 (-34, 37)","3.66 (-44.74, 48.03)"
"Oxnard-Thousand Oaks-Ventura, CA",Overall,35,"149,980",25.2,"22 (21.6, 22.9)","1.077 (1.023, 1.135)","461 (353, 560)","27.97 (21.42, 34.04)"
"Oxnard-Thousand Oaks-Ventura, CA",Low UHII,10,"50,926",25.1,"22.1 (21.1, 30.4)","1.121 (1.024, 1.227)","265 (150, 368)","44.5 (25.17, 61.84)"
"Oxnard-Thousand Oaks-Ventura, CA",High UHII,-,-,-,-,-,-,-
"Palm Bay-Melbourne-Titusville, FL",Overall,37,"234,393",29.4,"28.2 (28.0, 28.5)","1.054 (0.994, 1.118)","355 (245, 456)","20.38 (14.08, 26.21)"
"Palm Bay-Melbourne-Titusville, FL",Low UHII,11,"81,559",29.4,"28.3 (27.8, 31.3)","0.991 (0.905, 1.085)","-37 (-125, 51)","-5.99 (-20.04, 8.14)"
"Palm Bay-Melbourne-Titusville, FL",High UHII,1,509,29.3,"28.1 (28.0, 28.5)","1.000 (0.892, 1.121)","0 (-2, 2)","0.89 (-67.65, 66.15)"
"Philadelphia, PA",Overall,88,"732,042",29,"25.5 (25.0, 26.5)","1.049 (1.006, 1.093)","1,015 (883, 1,142)","21.60 (18.78, 24.30)"
"Philadelphia, PA",Low UHII,11,"53,274",29,"25.8 (24.5, 33.3)","0.992 (0.888, 1.108)","-34 (-127, 60)","-9.03 (-33.39, 15.73)"
"Philadelphia, PA",High UHII,60,"566,052",29,"25.5 (25.0, 26.5)","1.060 (1.015, 1.106)","989 (848, 1,121)","28.11 (24.11, 31.88)"
"Phoenix-Mesa-Scottsdale, AZ",Overall,159,"685,279",38.1,"35.3 (34.9, 36.1)","1.017 (0.970, 1.067)","225 (71, 365)","3.16 (1.00, 5.13)"
"Phoenix-Mesa-Scottsdale, AZ",Low UHII,59,"313,172",38,"35.4 (34.2, 41.8)","0.997 (0.928, 1.071)","-65 (-192, 52)","-1.94 (-5.75, 1.56)"
"Phoenix-Mesa-Scottsdale, AZ",High UHII,-,-,-,-,-,-,-
"Pittsburgh, PA",Overall,199,"918,666",26.3,"23.6 (23.2, 24.4)","1.013 (0.979, 1.049)","332 (212, 437)","5.08 (3.25, 6.69)"
"Pittsburgh, PA",Low UHII,116,"323,917",26.3,"23.8 (22.7, 31.1)","0.987 (0.933, 1.043)","-127 (-203, -62)","-5.41 (-8.60, -2.62)"
"Pittsburgh, PA",High UHII,16,"97,124",26.4,"23.7 (23.2, 24.5)","1.002 (0.947, 1.060)","-12 (-69, 40)","-1.84 (-10.25, 6.05)"
"Portland-South Portland, ME",Overall,27,"84,872",24.9,"21.2 (20.6, 22.2)","1.033 (0.965, 1.105)","90 (40, 145)","12.89 (5.65, 20.63)"
"Portland-South Portland, ME",Low UHII,13,"26,520",24.8,"21.4 (20.0, 31.6)","1.036 (0.935, 1.149)","22 (-6, 53)","8.79 (-2.27, 21.38)"
"Portland-South Portland, ME",High UHII,4,"4,891",25,"21.2 (20.6, 22.3)","0.997 (0.899, 1.105)","0 (-14, 15)","1.17 (-34.53, 35.92)"
"Portland-Vancouver-Hillsboro, OR-WA",Overall,98,"298,765",25.4,"21.1 (20.4, 22.3)","1.060 (1.003, 1.119)","781 (707, 856)","20.62 (18.65, 22.59)"
"Portland-Vancouver-Hillsboro, OR-WA",Low UHII,22,"55,341",25.5,"21.5 (20.0, 32.2)","1.024 (0.928, 1.131)","56 (-5, 116)","7.57 (-0.63, 15.73)"
"Portland-Vancouver-Hillsboro, OR-WA",High UHII,32,"102,355",25.4,"21.1 (20.4, 22.3)","1.083 (1.005, 1.166)","310 (242, 369)","23.92 (18.68, 28.49)"
"Providence-Warwick, RI-MA",Overall,99,"506,210",26.4,"23.1 (22.6, 24.1)","0.927 (0.887, 0.970)","-1,480 (-1,593, -1,379)","-37.95 (-40.87, -35.37)"
"Providence-Warwick, RI-MA",Low UHII,38,"101,371",26.4,"23.3 (22.1, 30.9)","1.059 (0.971, 1.155)","153 (99, 203)","18.16 (11.78, 24.07)"
"Providence-Warwick, RI-MA",High UHII,28,"183,546",26.5,"23.2 (22.7, 24.1)","0.856 (0.809, 0.906)","-1,146 (-1,238, -1,055)","-83.46 (-90.19, -76.85)"
"Provo-Orem, UT",Overall,18,"51,337",28.6,"25.3 (24.7, 26.3)","0.991 (0.905, 1.084)","-53 (-96, -9)","-9.74 (-17.53, -1.73)"
"Provo-Orem, UT",Low UHII,5,"12,632",28.7,"25.7 (24.2, 31.4)","0.989 (0.848, 1.154)","-1 (-38, 33)","-0.53 (-29.00, 25.14)"
"Provo-Orem, UT",High UHII,2,177,28.6,"25.3 (24.7, 26.2)","1.045 (0.901, 1.211)","0 (0, 1)","11.69 (-17.52, 40.78)"
"Raleigh, NC",Overall,47,"171,687",29.5,"26.8 (26.4, 27.5)","1.084 (1.012, 1.161)","506 (430, 589)","35.43 (30.08, 41.22)"
"Raleigh, NC",Low UHII,17,"78,483",29.5,"27.0 (26.0, 32.2)","1.121 (1.014, 1.240)","331 (255, 408)","51.17 (39.52, 63.21)"
"Raleigh, NC",High UHII,8,"11,834",29.5,"26.8 (26.4, 27.5)","1.113 (0.985, 1.257)","37 (0, 74)","41.84 (-0.49, 84.05)"
"Richmond, VA",Overall,52,"298,847",29.5,"26.4 (25.9, 27.3)","1.071 (1.015, 1.130)","646 (555, 725)","29.67 (25.49, 33.34)"
"Richmond, VA",Low UHII,15,"70,449",29.5,"26.7 (25.5, 34.1)","1.032 (0.939, 1.133)","88 (24, 149)","15.16 (4.18, 25.53)"
"Richmond, VA",High UHII,11,"40,144",29.4,"26.4 (25.9, 27.3)","1.014 (0.935, 1.099)","38 (-13, 86)","13.95 (-4.92, 31.51)"
"Riverside-San Bernardino-Ontario, CA",Overall,135,"557,418",33,"28.3 (27.6, 29.6)","1.068 (1.039, 1.097)","1,862 (1,713, 2,000)","28.05 (25.81, 30.13)"
"Riverside-San Bernardino-Ontario, CA",Low UHII,75,"334,345",33.3,"29.1 (27.2, 40.5)","1.056 (1.017, 1.097)","997 (835, 1,167)","25.66 (21.49, 30.04)"
"Riverside-San Bernardino-Ontario, CA",High UHII,12,"47,344",29.5,"26.3 (25.7, 27.3)","1.009 (0.938, 1.086)","56 (12, 97)","9.62 (2.08, 16.71)"
"Rochester, NY",Overall,49,"218,924",26.3,"22.8 (22.2, 23.8)","1.044 (0.976, 1.115)","257 (170, 346)","12.74 (8.44, 17.18)"
"Rochester, NY",Low UHII,18,"78,257",26.3,"23.1 (21.7, 30.6)","1.048 (0.945, 1.163)","122 (32, 203)","16.31 (4.33, 27.20)"
"Rochester, NY",High UHII,13,"48,593",26.3,"22.8 (22.2, 23.8)","1.087 (0.990, 1.194)","148 (87, 206)","39.98 (23.51, 55.71)"
"Sacramento--Roseville--Arden-Arcade, CA",Overall,79,"293,051",29.2,"24.8 (24.2, 25.8)","0.955 (0.897, 1.016)","-520 (-612, -439)","-13.29 (-15.65, -11.21)"
"Sacramento--Roseville--Arden-Arcade, CA",Low UHII,34,"116,858",29.1,"25.0 (23.6, 35.0)","0.918 (0.835, 1.009)","-318 (-388, -254)","-20.52 (-25.04, -16.39)"
"Sacramento--Roseville--Arden-Arcade, CA",High UHII,-,-,-,-,-,-,-
"Salt Lake City, UT",Overall,45,"133,243",29.4,"26.1 (25.5, 27.2)","1.005 (0.942, 1.072)","3 (-53, 61)","0.21 (-3.49, 4.02)"
"Salt Lake City, UT",Low UHII,27,"89,385",29.3,"26.3 (24.8, 32.5)","1.009 (0.932, 1.093)","39 (-15, 97)","3.81 (-1.45, 9.35)"
"Salt Lake City, UT",High UHII,-,-,-,-,-,-,-
"San Antonio-New Braunfels, TX",Overall,92,"363,658",31.4,"29.8 (29.5, 30.3)","1.022 (0.985, 1.061)","298 (221, 367)","8.50 (6.30, 10.46)"
"San Antonio-New Braunfels, TX",Low UHII,28,"92,898",31.3,"29.8 (29.0, 34.8)","1.016 (0.954, 1.082)","56 (0, 111)","6.25 (-0.05, 12.39)"
"San Antonio-New Braunfels, TX",High UHII,11,"1,256",31.4,"29.9 (29.6, 30.4)","1.020 (0.937, 1.112)","1 (-2, 4)","11.10 (-16.61, 39.52)"
"San Diego-Carlsbad, CA",Overall,135,"487,570",26.3,"23.3 (22.9, 24.1)","0.909 (0.874, 0.945)","-1,969 (-2,070, -1,862)","-32.30 (-33.96, -30.54)"
"San Diego-Carlsbad, CA",Low UHII,75,"274,396",25.9,"23.2 (22.2, 30.9)","0.783 (0.732, 0.837)","-2,469 (-2,591, -2,356)","-71.29 (-74.82, -68.03)"
"San Diego-Carlsbad, CA",High UHII,5,"29,609",27.1,"24.2 (23.8, 25.0)","1.054 (0.962, 1.154)","63 (2, 118)","18.69 (0.63, 35.23)"
"San Francisco-Redwood City-South San Francisco, CA",Overall,63,"273,794",23.3,"19.4 (18.9, 20.3)","1.011 (0.954, 1.070)","88 (2, 169)","2.41 (0.06, 4.64)"
"San Francisco-Redwood City-South San Francisco, CA",Low UHII,43,"186,528",22.9,"19.3 (18.2, 30.8)","1.024 (0.942, 1.114)","69 (-38, 175)","2.83 (-1.54, 7.17)"
"San Francisco-Redwood City-South San Francisco, CA",High UHII,5,"20,722",24.1,"20.0 (19.7, 20.9)","1.068 (0.955, 1.194)","52 (17, 90)","18.26 (5.96, 31.84)"
"San Jose-Sunnyvale-Santa Clara, CA",Overall,92,"241,570",25.3,"21.3 (20.9, 22.2)","1.043 (0.986, 1.104)","496 (416, 569)","14.87 (12.45, 17.04)"
"San Jose-Sunnyvale-Santa Clara, CA",Low UHII,17,"42,996",24.6,"21.0 (20.0, 32.1)","0.972 (0.880, 1.073)","-50 (-97, -4)","-8.27 (-15.96, -0.72)"
"San Jose-Sunnyvale-Santa Clara, CA",High UHII,28,"93,346",25.6,"21.6 (21.2, 22.5)","0.989 (0.917, 1.066)","-51 (-118, 23)","-3.98 (-9.27, 1.77)"
"Scranton--Wilkes-Barre--Hazleton, PA",Overall,51,"263,567",26,"22.9 (22.3, 23.8)","1.070 (1.020, 1.122)","652 (569, 734)","40.78 (35.58, 45.92)"
"Scranton--Wilkes-Barre--Hazleton, PA",Low UHII,21,"77,875",26,"23.2 (21.8, 32.5)","1.043 (0.967, 1.124)","88 (37, 141)","17.37 (7.30, 27.77)"
"Scranton--Wilkes-Barre--Hazleton, PA",High UHII,12,"78,695",26,"22.9 (22.4, 23.8)","1.059 (0.999, 1.123)","200 (124, 274)","45.11 (28.13, 62.03)"
"Seattle-Bellevue-Everett, WA",Overall,116,"408,238",22.9,"18.9 (18.3, 19.9)","0.974 (0.929, 1.021)","-370 (-446, -299)","-7.54 (-9.10, -6.11)"
"Seattle-Bellevue-Everett, WA",Low UHII,33,"101,723",22.9,"19.2 (17.8, 29.9)","0.956 (0.882, 1.037)","-127 (-185, -76)","-9.67 (-14.08, -5.83)"
"Seattle-Bellevue-Everett, WA",High UHII,18,"47,958",23.1,"19.1 (18.5, 20.1)","0.962 (0.887, 1.044)","-47 (-91, -4)","-8.82 (-17.23, -0.73)"
"Silver Spring-Frederick-Rockville, MD",Overall,74,"257,334",28.8,"25.7 (25.2, 26.6)","0.940 (0.891, 0.992)","-576 (-677, -473)","-24.15 (-28.35, -19.81)"
"Silver Spring-Frederick-Rockville, MD",Low UHII,26,"46,488",28.8,"25.9 (24.7, 33.0)","0.969 (0.872, 1.077)","-94 (-150, -43)","-19.10 (-30.40, -8.66)"
"Silver Spring-Frederick-Rockville, MD",High UHII,4,711,28.8,"25.7 (25.2, 26.6)","1.025 (0.911, 1.154)","1 (-2, 3)","10.96 (-23.28, 43.77)"
"Spokane-Spokane Valley, WA",Overall,34,"99,838",26.3,"22.3 (21.5, 23.8)","1.017 (0.945, 1.095)","85 (18, 147)","8.21 (1.70, 14.26)"
"Spokane-Spokane Valley, WA",Low UHII,15,"46,452",26.2,"22.7 (20.8, 31.3)","1.047 (0.946, 1.160)","101 (38, 153)","19.96 (7.48, 30.22)"
"Spokane-Spokane Valley, WA",High UHII,1,539,26.7,"22.6 (21.8, 24.2)","1.048 (0.910, 1.206)","1 (-2, 4)","21.43 (-37.81, 77.99)"
"Springfield, MA",Overall,52,"185,999",26.4,"23.1 (22.5, 24.1)","1.030 (0.973, 1.091)","250 (177, 318)","17.04 (12.08, 21.70)"
"Springfield, MA",Low UHII,20,"56,504",26.3,"23.3 (21.8, 31.6)","0.992 (0.903, 1.091)","14 (-36, 63)","3.13 (-8.10, 14.10)"
"Springfield, MA",High UHII,11,"42,771",26.6,"23.3 (22.7, 24.3)","1.040 (0.963, 1.123)","75 (26, 120)","23.89 (8.39, 38.12)"
"St. Louis, MO-IL",Overall,138,"793,893",30.2,"26.8 (26.2, 27.8)","0.981 (0.943, 1.021)","-549 (-691, -412)","-9.81 (-12.36, -7.35)"
"St. Louis, MO-IL",Low UHII,45,"176,270",30,"27.0 (25.6, 34.1)","0.928 (0.866, 0.995)","-443 (-526, -366)","-34.95 (-41.5, -28.91)"
"St. Louis, MO-IL",High UHII,34,"162,545",30.3,"26.9 (26.3, 28.0)","1.055 (0.988, 1.127)","302 (215, 383)","27.55 (19.65, 34.98)"
"Stockton-Lodi, CA",Overall,31,"114,588",29.3,"24.7 (24.1, 25.8)","1.002 (0.929, 1.082)","-21 (-88, 46)","-1.78 (-7.66, 4.03)"
"Stockton-Lodi, CA",Low UHII,13,"43,553",29.2,"25.0 (23.6, 35.6)","0.937 (0.835, 1.051)","-110 (-162, -59)","-23.75 (-34.91, -12.72)"
"Stockton-Lodi, CA",High UHII,-,-,-,-,-,-,-
"Syracuse, NY",Overall,43,"155,678",26,"22.6 (22.0, 23.7)","1.017 (0.947, 1.093)","123 (41, 203)","10.27 (3.46, 17.00)"
